0,1,2,3,4,5,6,7,8
14,12,2,50,48,10,4,47,3
13,14,2,50,49,8,5,46,3
13,15,2,50,49,7,5,46,3
13,15,2,50,47,7,5,46,3
14,16,2,50,48,5,7,45,3
13,19,2,50,46,5,7,44,4
13,18,2,52,45,4,7,43,4
13,20,2,51,44,3,7,41,6
14,20,2,53,42,4,6,41,6
13,22,2,53,41,4,6,39,7
12,22,3,53,41,4,5,37,7
12,24,2,54,39,5,6,37,7
12,24,2,52,39,5,5,38,7
11,27,2,53,37,5,5,35,9
10,28,2,55,34,5,5,35,9
11,30,2,52,34,5,5,35,10
9,31,1,54,31,6,5,35,10
9,32,2,51,32,6,5,35,11
9,32,2,54,29,7,4,35,11
10,33,2,54,29,7,3,36,12
10,33,2,56,25,6,4,36,12
12,32,2,55,24,7,4,37,13
12,33,2,55,23,6,4,38,13
14,32,2,54,22,6,4,38,13
13,33,2,56,20,5,5,39,13
16,32,2,56,19,5,5,38,16
16,32,1,58,16,6,5,39,16
18,31,1,57,16,6,5,40,17
18,31,2,58,16,7,4,41,16
19,29,2,57,16,7,4,42,16
20,28,2,58,16,7,4,41,17
19,28,2,57,16,7,4,41,17
20,29,2,57,15,7,4,39,19
20,28,1,57,15,8,4,39,20
22,26,1,57,17,8,5,39,19
20,27,1,56,17,7,5,39,20
21,25,1,58,18,7,5,39,19
19,26,1,57,18,7,5,40,21
21,25,1,58,19,7,5,40,20
20,24,1,58,19,7,5,39,22
20,25,1,57,20,7,5,39,21
20,24,1,57,21,7,5,39,22
19,23,1,58,21,7,5,40,21
18,23,1,58,21,7,4,40,22
18,22,1,59,21,8,4,42,20
18,24,0,56,21,8,4,42,21
17,23,0,57,21,9,4,43,22
19,22,0,57,21,9,3,43,22
19,20,0,57,22,10,3,43,21
20,20,0,55,22,10,4,45,22
18,19,1,55,22,10,5,46,21
20,17,1,54,22,10,4,45,21
22,16,1,55,22,10,3,45,21
22,15,1,53,22,11,3,45,20
23,16,1,53,21,10,3,45,20
22,15,2,51,21,9,3,45,19
24,14,2,49,20,10,3,45,20
24,15,2,50,21,8,4,45,21
24,14,2,48,22,8,4,46,21
24,14,2,48,22,8,4,46,21
22,14,2,48,23,8,4,47,20
24,13,2,49,23,8,4,48,19
24,11,2,48,24,8,5,50,20
22,12,2,46,24,8,5,50,19
23,12,2,46,24,8,5,51,18
21,13,2,45,24,6,6,52,17
22,12,1,45,23,7,5,53,16
20,13,1,46,24,7,5,52,16
20,13,1,45,24,6,4,53,15
19,13,1,44,24,6,4,52,15
18,13,1,43,25,5,5,54,14
19,13,0,43,25,6,5,55,12
16,15,0,45,26,5,4,54,12
17,15,0,45,26,4,5,55,10
15,15,0,45,26,4,5,55,9
16,14,0,46,26,4,7,54,10
15,13,0,46,26,4,7,54,9
14,13,0,47,27,4,7,51,11
13,14,0,45,28,4,8,50,11
13,13,0,46,29,4,8,48,11
14,13,0,46,29,4,9,49,10
13,12,0,47,30,4,9,49,11
13,12,0,47,31,4,8,48,11
10,12,1,48,31,3,9,49,11
10,12,1,47,32,3,9,49,12
11,12,1,48,32,3,8,48,12
12,11,1,50,33,3,9,48,12
11,11,1,51,33,2,10,47,12
11,10,2,52,34,2,8,46,12
11,10,2,52,35,2,9,45,12
11,10,2,53,35,2,9,46,12
10,11,3,54,35,2,9,45,12
11,10,3,55,36,2,10,42,13
10,10,3,55,37,1,10,43,13
10,8,4,55,38,1,11,39,14
9,9,4,55,38,1,11,38,14
9,9,4,56,39,1,10,38,14
9,9,5,55,39,1,10,36,14
8,11,5,55,40,1,10,37,14
7,10,4,55,41,2,10,36,15
6,11,4,55,41,2,10,36,15
6,11,4,56,42,2,10,34,16
5,13,4,54,44,2,10,33,17
5,12,4,54,44,2,10,33,19
5,12,4,54,46,2,10,32,20
5,14,4,53,46,2,10,32,23
5,14,4,54,46,2,10,31,23
4,15,4,52,46,2,9,31,23
4,17,4,51,46,2,9,30,24
4,17,4,50,46,2,10,29,26
5,17,4,50,47,1,10,29,26
5,17,4,50,47,1,10,29,26
7,16,4,50,47,1,10,31,25
6,17,4,50,47,1,8,31,24
8,16,4,50,47,1,8,33,22
8,15,4,50,47,1,7,35,21
10,14,4,51,47,1,8,35,22
10,14,4,50,48,2,8,36,19
12,13,4,49,48,3,7,35,20
11,15,4,49,48,3,7,36,20
14,14,4,48,47,4,7,36,20
14,15,4,49,47,4,7,36,22
15,15,4,49,46,5,6,35,22
16,15,4,48,46,6,6,36,23
15,16,5,48,45,7,5,36,23
17,16,5,49,44,7,5,37,24
16,18,6,48,44,8,4,36,25
16,18,6,49,44,9,4,36,25
15,20,6,49,43,10,3,35,27
15,21,7,49,43,12,3,35,28
13,24,7,50,41,14,3,34,28
13,25,7,50,41,14,3,34,30
12,27,6,50,39,16,2,34,29
11,28,6,51,38,16,1,34,30
10,30,5,53,36,17,1,34,29
8,32,6,51,35,16,1,35,29
7,33,5,55,31,17,1,35,30
6,35,5,56,28,16,1,35,30
5,35,4,56,27,17,1,35,30
6,37,4,58,24,16,1,35,31
7,38,3,57,23,16,1,35,31
6,38,4,60,20,16,1,35,30
7,39,4,58,20,16,1,35,31
6,39,4,60,17,17,1,35,32
8,40,4,56,17,18,1,35,34
9,39,4,58,16,17,2,35,34
10,40,3,57,16,18,2,35,35
11,39,3,57,16,18,2,35,37
13,38,3,54,16,18,3,35,37
14,37,3,54,16,18,3,36,34
15,36,3,53,16,17,3,35,37
16,35,2,52,16,19,3,36,36
17,34,2,52,16,18,4,36,35
19,32,2,51,17,18,4,34,35
18,31,2,51,17,18,4,35,33
20,32,2,50,17,18,5,33,34
20,30,2,51,17,17,6,34,32
21,28,1,53,16,18,6,33,32
21,28,1,53,16,19,6,34,30
21,25,1,56,16,19,7,35,29
21,24,1,56,16,20,7,34,28
21,23,1,58,15,20,7,36,25
20,23,1,57,15,18,8,34,25
19,22,1,59,16,18,8,34,24
20,21,1,60,16,17,9,35,24
20,19,1,61,18,17,9,34,23
19,19,1,60,18,19,8,36,22
18,18,1,59,20,18,7,35,22
17,18,1,59,20,18,7,36,20
17,18,1,58,21,18,7,39,17
14,19,2,59,20,18,6,38,17
16,17,2,57,22,17,6,36,16
14,18,2,56,22,17,6,35,16
12,18,2,57,22,17,6,35,15
11,19,2,57,22,17,6,35,15
12,17,2,58,23,16,7,32,15
10,16,2,59,24,16,7,30,15
10,16,1,60,24,16,9,29,14
10,16,1,59,25,16,8,27,14
12,15,1,60,25,15,9,26,14
11,17,1,58,27,15,9,26,14
10,17,1,58,28,14,10,26,14
9,17,2,57,28,12,11,25,14
11,17,2,57,28,12,11,23,15
10,15,2,59,29,11,11,21,15
11,16,2,58,28,11,11,18,16
10,16,2,58,28,11,11,17,16
11,16,2,58,29,11,12,15,17
10,15,2,60,30,11,12,12,18
10,15,2,60,30,11,13,12,18
10,16,2,61,29,10,13,11,18
10,16,2,60,29,10,13,10,19
9,15,2,60,31,10,12,10,19
9,15,2,60,32,10,12,10,20
9,14,2,61,31,8,13,10,21
9,15,2,61,31,8,13,10,22
11,14,2,60,31,8,13,10,23
11,14,2,60,31,7,14,10,23
11,14,2,61,31,6,13,11,25
10,15,1,60,31,7,13,11,25
11,14,1,60,31,7,13,12,26
10,15,1,58,31,7,13,13,26
11,14,0,59,31,8,12,15,25
12,13,0,60,31,8,12,16,25
12,12,0,61,31,8,11,18,25
12,12,0,60,31,9,10,18,24
13,10,1,60,31,9,9,20,23
12,11,1,60,31,10,8,21,21
13,9,1,61,31,10,7,23,19
14,8,1,61,32,9,7,24,19
13,8,1,59,32,9,7,26,17
14,7,1,60,32,8,7,26,18
14,7,1,58,32,8,7,27,17
14,6,1,59,33,8,6,28,16
13,7,1,59,33,7,6,29,15
13,7,1,57,33,7,5,29,16
11,7,2,56,34,6,6,29,17
12,5,2,55,34,4,6,28,18
12,6,2,56,34,4,6,28,19
13,6,2,55,34,3,8,28,19
11,7,2,52,35,3,7,27,20
11,8,2,50,35,3,7,27,20
10,9,1,49,36,5,7,28,21
9,9,1,50,36,5,7,28,22
8,11,1,49,37,7,6,28,22
7,11,1,50,37,8,6,27,24
8,12,1,49,38,8,6,27,24
7,13,1,49,38,8,6,27,25
8,14,1,49,38,8,6,27,25
8,13,1,51,39,8,6,26,25
9,13,1,50,40,8,6,26,25
8,14,1,50,40,8,6,26,26
9,13,0,52,40,9,5,26,25
8,13,1,53,41,9,5,27,26
7,14,2,52,41,9,5,27,26
8,14,2,53,41,10,5,27,27
9,14,2,53,41,10,5,27,28
9,14,2,54,41,10,5,26,29
9,15,3,53,42,11,4,27,30
10,14,3,53,42,11,5,27,30
11,13,3,53,43,10,5,28,31
10,13,4,53,43,11,5,29,32
10,13,4,53,43,10,5,30,32
10,13,4,53,43,10,4,31,33
10,13,4,52,43,11,4,31,34
10,14,4,52,43,10,3,30,35
10,14,4,52,42,11,3,31,34
