run,type,module,name,attrname,attrvalue,value
General-112-20190306-12:47:53-5553,param,,,*.**.nic.mac1609_4.useServiceChannel,false,
General-112-20190306-12:47:53-5553,param,,,*.**.nic.mac1609_4.txPower,20mW,
General-112-20190306-12:47:53-5553,param,,,*.**.nic.mac1609_4.bitrate,6Mbps,
General-112-20190306-12:47:53-5553,param,,,*.**.nic.phy80211p.sensitivity,-89dBm,
General-112-20190306-12:47:53-5553,param,,,*.**.nic.phy80211p.useThermalNoise,true,
General-112-20190306-12:47:53-5553,param,,,*.**.nic.phy80211p.thermalNoise,-110dBm,
General-112-20190306-12:47:53-5553,param,,,*.**.nic.phy80211p.decider,"xmldoc(""config.xml"")",
General-112-20190306-12:47:53-5553,param,,,*.**.nic.phy80211p.analogueModels,"xmldoc(""config.xml"")",
General-112-20190306-12:47:53-5553,param,,,*.**.nic.phy80211p.usePropagationDelay,true,
General-112-20190306-12:47:53-5553,param,,,*.**.nic.phy80211p.antenna,"xmldoc(""antenna.xml"", ""/root/Antenna[@id='monopole']"")",
General-112-20190306-12:47:53-5553,param,,,*.node[*].applType,"""RandomForestApp.NoAppCar""",
General-112-20190306-12:47:53-5553,param,,,*.node[*].appl.headerLength,80 bit,
General-112-20190306-12:47:53-5553,param,,,*.node[*].appl.sendBeacons,false,
General-112-20190306-12:47:53-5553,param,,,*.node[*].appl.dataOnSch,false,
General-112-20190306-12:47:53-5553,param,,,*.node[*].appl.beaconInterval,1s,
General-112-20190306-12:47:53-5553,param,,,*.node[*].veinsmobilityType.debug,true,
General-112-20190306-12:47:53-5553,param,,,*.node[*].veinsmobility.x,-1,
General-112-20190306-12:47:53-5553,param,,,*.node[*].veinsmobility.y,-1,
General-112-20190306-12:47:53-5553,param,,,*.node[*].veinsmobility.z,1.895,
General-112-20190306-12:47:53-5553,param,,,*.rsu[0].mobility.x,500,
General-112-20190306-12:47:53-5553,param,,,*.rsu[0].mobility.y,500,
General-112-20190306-12:47:53-5553,param,,,*.rsu[0].mobility.z,0,
General-112-20190306-12:47:53-5553,param,,,*.rsu[1].mobility.x,330,
General-112-20190306-12:47:53-5553,param,,,*.rsu[1].mobility.y,300,
General-112-20190306-12:47:53-5553,param,,,*.rsu[1].mobility.z,0,
General-112-20190306-12:47:53-5553,param,,,*.rsu[2].mobility.x,390.79,
General-112-20190306-12:47:53-5553,param,,,*.rsu[2].mobility.y,206.97,
General-112-20190306-12:47:53-5553,param,,,*.rsu[2].mobility.z,0,
General-112-20190306-12:47:53-5553,param,,,*.rsu[3].mobility.x,410,
General-112-20190306-12:47:53-5553,param,,,*.rsu[3].mobility.y,450,
General-112-20190306-12:47:53-5553,param,,,*.rsu[3].mobility.z,0,
General-112-20190306-12:47:53-5553,param,,,*.rsu[4].mobility.x,390,
General-112-20190306-12:47:53-5553,param,,,*.rsu[4].mobility.y,300,
General-112-20190306-12:47:53-5553,param,,,*.rsu[4].mobility.z,0,
General-112-20190306-12:47:53-5553,param,,,*.rsu[5].mobility.x,350,
General-112-20190306-12:47:53-5553,param,,,*.rsu[5].mobility.y,400,
General-112-20190306-12:47:53-5553,param,,,*.rsu[5].mobility.z,0,
General-112-20190306-12:47:53-5553,param,,,*.rsu[6].mobility.x,450,
General-112-20190306-12:47:53-5553,param,,,*.rsu[6].mobility.y,300,
General-112-20190306-12:47:53-5553,param,,,*.rsu[6].mobility.z,0,
General-112-20190306-12:47:53-5553,param,,,*.rsu[7].mobility.x,380,
General-112-20190306-12:47:53-5553,param,,,*.rsu[7].mobility.y,380,
General-112-20190306-12:47:53-5553,param,,,*.rsu[7].mobility.z,0,
General-112-20190306-12:47:53-5553,param,,,*.rsu[8].mobility.x,390,
General-112-20190306-12:47:53-5553,param,,,*.rsu[8].mobility.y,390,
General-112-20190306-12:47:53-5553,param,,,*.rsu[8].mobility.z,0,
General-112-20190306-12:47:53-5553,param,,,*.rsu[9].mobility.x,350,
